Name	Value.id	Value.chineseS	Value.chineseT	Value.english	Value.japanese	Value.german	Value.chineseH	ct	e	j	k
TextConfig	1000154	降低法术透明度方便在漫天法术中找到自己位置 (透明度降到最低可以提升性能)	降低法術透明度方便在漫天法術中找到自己位置 (透明度降到最低可以提升效能)	Adjust spell transparency for better visibility amidst a flurry of spells. (Minimizing transparency can improve performance)	呪文の透明度を下げることにより、自分の位置がわかりやすくなります (透明度を最小限に抑えるとパフォーマンスが向上します)	Zauber-Transparenz verringern, um sich leichter im Zauberregen zu orientieren (Transparenz auf das Minimum setzen, um die Leistung zu verbessern)		주문의 투명도를 줄여 하늘에 있는 주문 사이에서 위치를 찾는 데 도움이 됩니다. (투명도를 최소한으로 낮추면 성능이 향상될 수 있습니다)	주문이 쏟아지는 가운데 더 잘 보이도록 주문 투명도를 조정합니다. (투명성을 최소화하면 성능이 향상될 수 있습니다)	로드 중...	주문의 투명도를 낮추면 자신의 위치를 ​​쉽게 이해할 수 있습니다. (투명도를 최소화하면 성능이 향상됩니다)
TextConfig	1000155	手柄辅助瞄准	手把輔助瞄準	Controller Aim Assist	コントローラーエイムアシスト	Kontroller-Zielhilfe		로드 중...	컨트롤러 조준 지원	컨트롤러 에임 어시스트	컨트롤러 조준 지원
TextConfig	1000156	蜘蛛恐惧症安全模式	蜘蛛恐懼症安全模式	Arachnophobia Safe Mode	クモ恐怖症モード	Arachnophobie-Sicherheitsmodus		로드 중...	거미공포증 안전 모드	로드 중...	거미공포증 안전 모드
TextConfig	1000157	替换蜘蛛怪物外形，蜘蛛恐惧症玩家可开启此选项	替換蜘蛛怪物外形，蜘蛛恐懼症玩家可開啟此選項	Arachnophobic players can use this option to replace the appearance of spider monsters.	クモ型のモンスターの外観を変更します。クモ恐怖症の方におすすめです	Spinnenmonster durch alternative Modelle ersetzen, kann von Spielern mit Arachnophobie aktiviert werden		거미 몬스터의 외형을 변경합니다. 거미공포증이 있는 플레이어는 이 옵션을 켤 수 있습니다.	로드 중...	거미 모양의 몬스터의 모양을 변경합니다. 거미 공포증에게 추천합니다	거미 몬스터의 외형을 변경합니다. 거미공포증이 있는 플레이어에게 권장합니다.
TextConfig	1000158	召唤物透明度	召喚物透明度	Summoned Unit Transparency	召喚物透明度	Beschwörungen-Transparenz		로드 중...	소환된 유닛 투명성	로드 중...	소환물 투명도
TextConfig	1000159	召唤限制	召喚限制	Summon Limit	召喚制限	Beschränkung der Beschwörungen		소환 제한	소환 제한	소환 제한	소환 제한
TextConfig	1000160	杖灵和魔导书在达到召唤物上限后会停止召唤	杖靈和魔導書在達到召喚物上限後會停止召喚	Wand spirits and grimoires stop summoning once the summon limit is reached	召喚物が上限に達するとワンドスピリッツと魔導書の召喚が止まります	Stabgeister und Zauberbücher hören bei Erreichen des Beschwörungslimits auf zu beschwören		최대 소환 횟수에 도달하면 지팡이 정령과 마법서 소환이 중단됩니다.	로드 중...	소환물이 상한에 도달하면 완드 스피리츠와 마도서의 소환이 멈춥니다.	최대 소환 횟수에 도달하면 지팡이 정령과 마법서 소환이 중단됩니다.
TextConfig	1000161	观光模式	觀光模式	Tour Mode	観光モード	Erkundungsmodus		관광 모드	로드 중...	로드 중...	관광 모드
TextConfig	1000162	我只想看风景！ 如果你觉得游戏太难，可开启此模式，开局获得导游旗。 开启此模式无法获得成就，只能在营地打开该模式。	我只想看風景！ 如果你覺得遊戲太難，可開啟此模式，開局獲得導遊旗。 開啟此模式無法獲得成就，只能在營地打開該模式。	I just want to enjoy the view! If the game feels too hard, you can activate this mode to halve the damage taken. Activating this mode disables achievements, you can only do this at the camp.	グラフィックだけを楽しみたい方へ！ 難しすぎてゲームを進められない時は、 観光モードがおすすめです。 このモードでは被ダメージが半減する代わりに、 実績を達成することはできません。 観光モードはキャンプのみで切り替えられます。	Ich möchte nur die Landschaft genießen! Wenn du das Spiel zu schwer findest, kannst du diesen Modus aktivieren. Er halbiert den erlittenen Schaden. Im Erkundungsmodus können keine Erfolge erzielt werden, er kann nur im Lager aktiviert werden	我只想看风景！ 如果你觉得游戏太难，可以开启此模式，受到的伤害减半。 建议还是先正常玩，实在打不过可以开启，有挑战才有乐趣。	로드 중...	그냥 경치를 즐기고 싶어요! 게임이 너무 어렵다고 느껴지면 이 모드를 활성화하여 받는 피해를 절반으로 줄일 수 있습니다. 이 모드를 활성화하면 업적이 비활성화됩니다. 이 작업은 캠프에서만 가능합니다.	그래픽만을 즐기고 싶은 분에게!어려워서 게임을 진행할 수 없는 때는, 관광 모드가 추천입니다. 전환됩니다.	그래픽만 즐기고 싶은 분에게! 너무 어려워서 게임을 진행할 수 없을 때는 관광 모드를 추천합니다. 이 모드에서는 피해가 반감하는 대신 업적을 달성할 수 없습니다. 관광 모드는 캠프에서만 전환됩니다.
TextConfig	1000163	已关闭法术特效	已關閉法術特效	Spell SFX disabled	呪文エフェクトを非表示にしました	Zaubereffekte deaktiviert		로드 중...	주문 SFX가 비활성화되었습니다.	마법 효과를 숨겼습니다.	주문 효과가 표시되지 않습니다.
TextConfig	1000164	已关闭召唤物显示	已關閉召喚物顯示	Summon display disabled	召喚物を非表示にしました	Beschwörungseffekte deaktiviert		로드 중...	소환 디스플레이 비활성화	소환물을 숨겼습니다.	소환물을 표시하지 않습니다.
TextConfig	1000165	空格	空格	Space	スペースキー	Leertaste		공간	로드 중...	로드 중...	스페이스
TextConfig	1000166	鼠标左键	滑鼠左鍵	Left mouse button	マウスの左ボタン	Linke Maustaste		마우스 왼쪽 버튼	마우스 왼쪽 버튼	로드 중...	마우스 왼쪽 버튼
TextConfig	1000167	鼠标右键	滑鼠右鍵	Right mouse button	マウスの右ボタン	Rechte Maustaste		마우스 오른쪽 버튼	마우스 오른쪽 버튼	로드 중...	마우스 오른쪽 버튼
TextConfig	1000168	主动技能	主動技能	Active skills	プロアクティブなスキル	Aktive Fähigkeiten		액티브 스킬	액티브 스킬	사전 활성 기술	액티브 스킬
TextConfig	1000169	召唤物透明度调到最低可提升游戏性能	召喚物透明度調到最低可提升遊戲效能	Setting the transparency of summoning objects to the lowest level can improve game performance	召喚物の透明度を最小にするとゲーム性能が向上する	Das Setzen der Transparenz von Beschwörungsobjekten auf die unterste Ebene kann die Spielleistung verbessern		소환의 투명성을 최소화하면 게임 성능이 향상될 수 있습니다.	로드 중...	소환물의 투명도를 최소화하면 게임 성능이 향상됩니다.	소환물의 투명도를 최소화하면 게임 성능이 향상됩니다.
TextConfig	1000201	继续	繼續	Continue	再開する	Fortsetzen		계속하다	로드 중...	재개하다	재개
TextConfig	1000202	返回主界面	返回主介面	Back to Main Menu	メイン画面に戻る	Zum Hauptmenü zurückkehren		로드 중...	메인 메뉴로 돌아가기	로드 중...	메인 화면으로 돌아가기
TextConfig	1000203	退出游戏	退出遊戲	Exit Game	ゲームを終了する	Spiel beenden		게임 종료	로드 중...	로드 중...	게임 종료
TextConfig	1000204	返回营地	返回營地	Return to Camp	キャンプに戻る	Zum Lager zurückkehren		캠프로 돌아가기	캠프로 돌아가기	로드 중...	캠프로 돌아가기
TextConfig	1000205	确定返回主界面？	確定返回主介面？	Return to the main menu?	メイン画面に戻りますか？	Möchten Sie wirklich zum Hauptmenü zurückkehren?		로드 중...	기본 메뉴로 돌아가시겠습니까?	메인 화면으로 돌아가시겠습니까?	메인 화면으로 돌아가시겠습니까?
TextConfig	1000206	确定退出游戏？	確定退出遊戲？	Are you sure you want to quit?	ゲームを終了しますか？	Möchten Sie das Spiel wirklich beenden?		로드 중...	정말 그만두시겠어요?	게임을 종료하시겠습니까?	게임을 종료하시겠습니까?
TextConfig	1000207	确定返回营地？	確定返回營地？	Are you sure you want to return to the camp?	キャンプに戻りますか？	Möchten Sie wirklich zum Lager zurückkehren?		로드 중...	로드 중...	캠프로 돌아가시겠습니까?	캠프로 돌아가시겠습니까?
TextConfig	1000208	是	是	Yes	はい	Ja		예	예	예	네
TextConfig	1000209	否	否	No	いいえ	Nein		아니요	아니요	아니오	아니오
TextConfig	1000210	确定返回营地？你将<color=#FF0000>失去此轮冒险进度</color>。	確定返回營地？你將<color=#FF0000>失去此輪冒險進度</color>。	Return to the camp? You'll <color=#FF0000>lose progress in this adventure</color>.	キャンプに戻りますか？<color=#FF0000>今回の冒険はセーブされません</color>。	Möchten Sie wirklich zum Lager zurückkehren? Sie werden <color=#FF0000>den Fortschritt dieses Abenteuers verlieren</color>		정말 캠프로 돌아가시겠어요? <color=#FF0000>이번 모험 진행 상황을 잃게 됩니다</color>.	로드 중...	로드 중...	캠프로 돌아가시겠습니까? <color=#FF0000>이번 모험은 저장되지 않습니다</color>.
TextConfig	1000211	确定返回主界面？<color=#00FF00>此轮冒险进度将被保留</color>，下次游戏可以继续当前进度。	確定返回主介面？<color=#00FF00>此輪冒險進度將被保留</color>，下次遊戲可以繼續目前進度。	Return to the main menu? <color=#00FF00>Your progress in this adventure will be saved</color> for next time.	メイン画面に戻りますか？<color=#00FF00>今回の冒険はセーブされ</color>、次回また続きから冒険を再開できます。	Möchten Sie zum Hauptmenü zurückkehren? <color=#00FF00>Der Fortschritt dieses Abenteuers wird gespeichert</color> und kann beim nächsten Spiel fortgesetzt werden		로드 중...	기본 메뉴로 돌아가시겠습니까? 다음 번 모험을 위해 <color=#00FF00>이 모험의 진행 상황이 저장됩니다</color>.	로드 중...	메인 화면으로 돌아가시겠습니까?<color=#00FF00>이번 모험은 저장됩니다</color>
TextConfig	1000221	系统	系統	System	システム	System		체계	로드 중...	시스템	시스템
TextConfig	1000222	手册	手冊	Manual	マニュアル	Handbuch		수동	로드 중...	로드 중...	수동
TextConfig	1000223	成就	成就	Achievements	実績	Erfolge		성취	업적	업적	업적
TextConfig	1000224	角色	角色	Character	キャラクター	Charakter		역할	로드 중...	로드 중...	캐릭터
TextConfig	1000234	关闭系统光标，可使用虚拟光标调节大小，但带点难以察觉的延迟	關閉系統光標，可使用虛擬光標調節大小，但帶點難以察覺的延遲	Disable the system cursor and utilize the virtual cursor to adjust its size, though there may be a slight imperceptible delay.	システム カーソルの代わりにサイズ変更可能な仮想カーソルを使用する	Systemcursor deaktivieren, virtuellen Cursor zur Größenanpassung verwenden, jedoch mit leicht spürbarer Verzögerung		시스템 커서를 끄고 가상 커서를 사용하여 크기를 조정하지만 감지할 수 없을 정도로 지연이 발생합니다.	약간의 감지할 수 없는 지연이 있을 수 있지만 시스템 커서를 비활성화하고 가상 커서를 활용하여 크기를 조정합니다.	시스템 커서 대신 크기 조정 가능한 가상 커서 사용	시스템 커서 대신 크기 조정 가능한 가상 커서를 사용합니다. 미세한 지연이 있을 수 있습니다.
TextConfig	1000235	有助于在战斗中找到光标	有助於在戰鬥中找到光標	Assists in locating the cursor during combat.	戦闘中にカーソルを見つけるのに役立ちます	Hilft, den Cursor während des Kampfes zu finden		전투 중 커서를 찾는 데 도움이 됩니다.	로드 중...	전투 중 커서를 찾는 데 도움이	전투 중 커서를 찾는 데 도움이 됩니다
TextConfig	1000236	虚拟光标大小	虛擬光標大小	Virtual Cursor Size	仮想カーソルサイズ	Größe des virtuellen Cursors		로드 중...	가상 커서 크기	로드 중...	가상 커서 크기
TextConfig	1000237	系统光标	系統光標	System Cursor	システムカーソル	Systemcursor		시스템 커서	시스템 커서	로드 중...	시스템 커서
TextConfig	1000238	（长按）	（長按）	(Long Press)	（長押し）	(Lange drücken)		(길게 누름)	(길게 누름)	로드 중...	(길게 누름)
TextConfig	1000239	用时	用時	Time	プレイ時間	benötigte Zeit		시간	시간	로드 중...	플레이 시간
TextConfig	1000240	（长按	（長按	(Long Press	（長押し	(Lange drücken		(길게 누르기	(길게 누르기	(길게 누르기	(길게 누르기
TextConfig	1000301	背包		Inventory	バッグ	Inventar		#VALUE!	로드 중...	가방	가방
TextConfig	1000302	选择语言	選擇語言	Select Language	言語選択	Sprache auswählen		언어 선택	언어 선택	언어 선택	언어 선택
TextConfig	1000303	建议使用键鼠游玩	推薦使用滑鼠鍵盤遊玩	Keyboard and mouse recommended for optimal gameplay experience.	マウスとキーボードを使用することを推奨します	Verwendung von Tastatur und Maus empfohlen		마우스와 키보드로 플레이하는 것을 권장합니다.	로드 중...	마우스와 키보드를 사용하는 것이 좋습니다.	마우스와 키보드로 플레이하는 것을 권장합니다.
TextConfig	1000304	当前关卡:	當前關卡：	Current Level:	現在のステージ：	Aktueller Abschnitt:		로드 중...	현재 레벨:	로드 중...	현재 단계:
TextConfig	1000401	小怪	小怪	Minions	小型モンスター	Kleinere Gegner		몹	로드 중...	로드 중...	소형 몬스터
TextConfig	1000402	首领	首領	Bosses	ボス	Boss		지도자	로드 중...	보스	보스
TextConfig	1000403	法术	法術	Spells	呪文	Zauber		주문	로드 중...	주문	주문
TextConfig	1000404	遗物	遺物	Relics	遺物	Relikte		유물	로드 중...	유물	유물
TextConfig	1000405	药水	藥水	Potions	薬	Zaubertrank		물약	로드 중...	약	포션
TextConfig	1000406	诅咒	詛咒	Curses	呪い	Flüche	减益	저주	로드 중...	저주	저주
TextConfig	1000407	生命值	生命值	HP	HP	Lebenspunkte		HP	HP	HP	생명력
TextConfig	1000408	出没于	出沒於	Lurking in	出現難易度	Auftreten in		유령이 나오는	숨어있는	로드 중...	출현 난이도
TextConfig	1000409	干掉次数	擊敗次數	Defeated	撃破回数	Anzahl der Tötungen		패배 횟수	로드 중...	격파 횟수	패배 횟수
TextConfig	1000410	获得次数	獲得次數	Obtained	獲得回数	Anzahl der Erhaltenen		획득 횟수	로드 중...	획득 횟수	획득 횟수
TextConfig	1000411	杀敌数量	殺敵數量	Kills	キル数	Anzahl der getöteten Feinde		죽인 적의 수	로드 중...	킬 수	처치 수
TextConfig	1000412	使用次数	使用次數	Used	使用回数	Anzahl der Verwendungen		사용횟수	사용된	사용 횟수	사용 횟수
TextConfig	1000413	切换法术等级	切換法術等級	Switch Spell Level	呪文レベルの切り替え	Zauberstufe wechseln		로드 중...	주문 레벨 전환	주문 레벨 전환	주문 레벨 전환
TextConfig	1000414	法杖	法杖	Wand	杖	Zauberstab		직원	지팡이	지팡이	지팡이
TextConfig	1000415	最高等级	最高等級	Max Level	最高レベル	Maximale Stufe		최고 수준	로드 중...	로드 중...	최고 등급
TextConfig	1000416	最大数量	最大數量	Maximum	最大数	Maximale Anzahl		최대 수량	로드 중...	최대 수	최대 수
TextConfig	1000501	天赋	天賦	Talent	能力	Talente		재능	로드 중...	능력	능력
TextConfig	1000502	法杖栏位	法杖欄位	Wand Slots	杖スロット	Zauberstab-Platz		직원 슬롯	완드 슬롯	로드 중...	지팡이 슬롯
TextConfig	1000503	背包栏位	背包欄位	Inventory Slots	バッグスロット	Inventarplatz		배낭 슬롯	인벤토리 슬롯	로드 중...	가방 슬롯
TextConfig	1000504	初始金币	初始金幣	Initial Coin	初期コイン数	Anfangs-Goldmünzen		초기 금화	초기 코인	로드 중...	초기 금화
TextConfig	1000505	最大生命	最大生命值	Max HP	最大HP	Maximales Leben		로드 중...	로드 중...	최대 HP	최대 생명력
TextConfig	1000506	法术房	法術房	Spell Room	呪文の部屋	Zauberraum		마법의 방	마법의 방	로드 중...	주문 방
TextConfig	1000507	遗物房	遺物房	Relic Room	遺物の部屋	Reliktraum		유물 방	유물실	로드 중...	유물 방
