Name	Value.id	Value.chineseS	Value.chineseT	Value.english	Value.japanese	Value.german	Value.chineseH	korean
TextConfig	1000106	音乐	音樂	Music	音楽	Musik		음악
TextConfig	1000107	音效	音效	Sound Effects	効果音	Soundeffekte		효과음
TextConfig	1000108	全屏	全螢幕	Full Screen	フルスクリーン	Vollbild		전체화면
TextConfig	1000109	垂直同步	垂直同步	V Sync	垂直同期	Vertikale Synchronisation		수직 동기화
TextConfig	1000110	其他	其他	Others	その他	Andere		그 외
TextConfig	1000111	伤害飘字	傷害飄字	Damage Numbers	ダメージ数値	Schadenszahlenanzeige		피해수치
TextConfig	1000112	关闭后可略微提升性能，如果你卡的话可以考虑	去掉後可略微提升性能，如果你卡的話可以考慮	Turning this off may slightly improve performance if you experience lag.	非表示にすると少しだけゲームがスムーズに動くようになります	Deaktivieren, um die Leistung geringfügig zu verbessern. Bei Problemen könnte dies helfen		이 효과를 끄면 약간의 성능 향상이 있을 수 있습니다
TextConfig	1000113	震屏强度	震動	Screen Shake Intensity	画面振動	Bildschirmvibrationen-Stärke		화면 진동
TextConfig	1000114	向上移动	向上移動	Move Up	上に移動	Nach oben bewegen		위로 이동
TextConfig	1000115	向下移动	向下移動	Move Down	下に移動	Nach unten bewegen		아래로 이동
TextConfig	1000116	向左移动	向左移動	Move Left	左に移動	Nach links bewegen		왼쪽으로 이동
TextConfig	1000117	向右移动	向右移動	Move Right	右に移動	Nach rechts bewegen		오른쪽으로 이동
TextConfig	1000118	交互	互動	Interact	使用	Interagieren		사용
TextConfig	1000119	开/关背包	開/關背包	Open/Close Inventory	バッグを開く/閉じる	Inventar öffnen/schließen		가방 여/닫기
TextConfig	1000120	施法	施法	Cast	詠唱	Zaubern		시전
TextConfig	1000121	法杖切换	法杖切換	Switch Wand	杖切り替え	Zauberstab wechseln		지팡이 교체
TextConfig	1000122	各个法杖	各個法杖	Select Wand	すべての杖	Verschiedene Zauberstäbe		지팡이 선택
TextConfig	1000123	使用药水	使用藥水	Use Potion	薬を使用	Zaubertrank benutzen		물약 사용
TextConfig	1000124	切换药水	切換藥水	Switch Potion	薬を切り替え	Zaubertrank wechseln		물약 교체
TextConfig	1000125	快速拆卸	快速拆卸	Quick Unequip	まとめて取り外す	Schnelle Demontage		빠른 해제
TextConfig	1000126	当前设备：键盘/鼠标	目前裝置：鍵盤/滑鼠	Current Device: Keyboard/Mouse	現在の設備：キーボード/マウス	Aktuelles Gerät: Tastatur/Maus		현재 장치: 키보드
TextConfig	1000127	当前设备：控制器	目前裝置：控制器	Current Device: Controller	現在の設備：コントローラー	Aktuelles Gerät:Kontroller		현재 장치: 컨트롤러
TextConfig	1000128	移动方向	移動方向	Movement Direction	方向移動	Bewegungsrichtung		이동 방향
TextConfig	1000129	瞄准方向	瞄準方向	Aim Direction	照準方向	Zielrichtung		조준 방향
TextConfig	1000130	上一个法杖	上一個法杖	Previous Wand	前の杖	Vorheriger Zauberstab		이전 지팡이
TextConfig	1000131	下一个法杖	下一個法杖	Next Wand	次の杖	Nächster Zauberstab		다음 지팡이
TextConfig	1000132	丢弃物品	丟棄物品	Discard Item	アイテムの破棄	Gegenstand abwerfen		물품 버리기
TextConfig	1000133	移动物品	移動物品	Move Item	アイテムの移動	Gegenstand verschieben		물품 이동
TextConfig	1000134	取消/返回	取消/返回	Cancel/Back	キャンセル/戻る	Abbrechen/Zurück		취소/돌아가기
TextConfig	1000135	开	開	On	オン	Ein		켜기
TextConfig	1000136	关	關	Off	オフ	Aus		끄기
TextConfig	1000137	控制	控制	Controls	コントロール	Steuerung		통제
TextConfig	1000138	游戏性	遊戲性	Gameplay	ゲーム性	Gameplay		게임플레이
TextConfig	1000139	视频&音频	影片&音訊	Video & Audio	グラフィック/オーディオ	Video & Audio	视频、音频	비디오&오디오
TextConfig	1000140	其它	其它	Other	その他	Andere		기타
TextConfig	1000141	视频	影片	Video	グラフィック	Video		그래픽
TextConfig	1000142	分辨率	解析度	Resolution	解像度	Auflösung		해상도
TextConfig	1000143	音频	音訊	Audio	オーディオ	Audio		오디오
TextConfig	1000144	总音量	總音量	Master Volume	全体音量	Gesamtlautstärke		전체 볼륨
TextConfig	1000145	上一个药水	上一個藥水	Previous Potion	前の薬	Vorheriger Zaubertrank		이전 물약
TextConfig	1000146	下一个药水	下一個藥水	Next Potion	次の薬	Nächster Zaubertrank		다음 물약
TextConfig	1000147	菜单	選單	Menu	メニュー	Menü		메뉴
TextConfig	1000148	按下任意键	按下任何鍵	Press Any Key	どれかキーを押してください	Beliebige Taste drücken		아무 키나 누르세요
TextConfig	1000149	战斗UI快捷键	戰鬥UI快速鍵	Battle UI Shortcuts	バトルUIクイックキー	Kampf-UI Kurzbefehl		전투 UI 단축키
TextConfig	1000150	使用U键隐藏和显示战斗UI	使用U鍵隱藏和顯示戰鬥UI	Press "U" to toggle the display of Battle UI	UキーでバトルUIを隠す/表示	Mit der „U“-Taste das Kampf-UI ein-/ausblenden		U 키로 전투 UI 숨기기/표시
TextConfig	1000151	显示变异脖子	顯示變異脖子	Display Mutated Neck	首の変異を表示	Mutierten Hals anzeigen		변형된 목 표시
TextConfig	1000152	关闭变异脖子，可以关闭遗物带来的脖子变异效果	關閉變異脖子，可以關閉遺物帶來的脖子變異效果	Disable Mutated Neck. Turn off the neck mutation effect caused by relics.	遺物による首の変異効果を隠せます。	Mutierten Hals deaktivieren, um den von Relikten verursachten Hals-Mutationen-Effekt zu deaktivieren		유물에 의한 목의 돌연변이 효과를 숨길 수 있습니다.
TextConfig	1000153	法术透明度	法術透明度	Spell Transparency	呪文透明度	Zauber-Transparenz		주문 투명도
TextConfig	1000154	降低法术透明度方便在漫天法术中找到自己位置 (透明度降到最低可以提升性能)	降低法術透明度方便在漫天法術中找到自己位置 (透明度降到最低可以提升效能)	Adjust spell transparency for better visibility amidst a flurry of spells. (Minimizing transparency can improve performance)	呪文の透明度を下げることにより、自分の位置がわかりやすくなります (透明度を最小限に抑えるとパフォーマンスが向上します)	Zauber-Transparenz verringern, um sich leichter im Zauberregen zu orientieren (Transparenz auf das Minimum setzen, um die Leistung zu verbessern)		주문의 투명도를 낮추면 자신의 위치를 ​​쉽게 찾을 수 있습니다. (투명도를 최소화하면 성능이 향상됩니다)
TextConfig	1000155	手柄辅助瞄准	手把輔助瞄準	Controller Aim Assist	コントローラーエイムアシスト	Kontroller-Zielhilfe		컨트롤러 조준 지원
TextConfig	1000156	蜘蛛恐惧症安全模式	蜘蛛恐懼症安全模式	Arachnophobia Safe Mode	クモ恐怖症モード	Arachnophobie-Sicherheitsmodus		거미공포증 안전 모드
TextConfig	1000157	替换蜘蛛怪物外形，蜘蛛恐惧症玩家可开启此选项	替換蜘蛛怪物外形，蜘蛛恐懼症玩家可開啟此選項	Arachnophobic players can use this option to replace the appearance of spider monsters.	クモ型のモンスターの外観を変更します。クモ恐怖症の方におすすめです	Spinnenmonster durch alternative Modelle ersetzen, kann von Spielern mit Arachnophobie aktiviert werden		거미 몬스터의 외형을 변경합니다. 거미공포증이 있는 플레이어에게 권장합니다.
TextConfig	1000158	召唤物透明度	召喚物透明度	Summoned Unit Transparency	召喚物透明度	Beschwörungen-Transparenz		소환물 투명도
TextConfig	1000159	召唤限制	召喚限制	Summon Limit	召喚制限	Beschränkung der Beschwörungen		소환 제한
TextConfig	1000160	杖灵和魔导书在达到召唤物上限后会停止召唤	杖靈和魔導書在達到召喚物上限後會停止召喚	Wand spirits and grimoires stop summoning once the summon limit is reached	召喚物が上限に達するとワンドスピリッツと魔導書の召喚が止まります	Stabgeister und Zauberbücher hören bei Erreichen des Beschwörungslimits auf zu beschwören		최대 소환 횟수에 도달하면 지팡이 수호령과 마법서 소환이 중단됩니다.
TextConfig	1000161	观光模式	觀光模式	Tour Mode	観光モード	Erkundungsmodus		관광 모드
TextConfig	1000162	我只想看风景！ 如果你觉得游戏太难，可开启此模式，开局获得导游旗。 开启此模式无法获得成就，只能在营地打开该模式。	我只想看風景！ 如果你覺得遊戲太難，可開啟此模式，開局獲得導遊旗。 開啟此模式無法獲得成就，只能在營地打開該模式。	I just want to enjoy the view! If the game feels too hard, you can activate this mode to halve the damage taken. Activating this mode disables achievements, you can only do this at the camp.	グラフィックだけを楽しみたい方へ！ 難しすぎてゲームを進められない時は、 観光モードがおすすめです。 このモードでは被ダメージが半減する代わりに、 実績を達成することはできません。 観光モードはキャンプのみで切り替えられます。	Ich möchte nur die Landschaft genießen! Wenn du das Spiel zu schwer findest, kannst du diesen Modus aktivieren. Er halbiert den erlittenen Schaden. Im Erkundungsmodus können keine Erfolge erzielt werden, er kann nur im Lager aktiviert werden	我只想看风景！ 如果你觉得游戏太难，可以开启此模式，受到的伤害减半。 建议还是先正常玩，实在打不过可以开启，有挑战才有乐趣。	그래픽만 즐기고 싶은 분에게! 너무 어려워서 게임을 진행할 수 없을 때는 관광 모드를 추천합니다. 이 모드에서는 피해가 반감하는 대신 업적을 달성할 수 없습니다. 관광 모드는 캠프에서만 전환됩니다.
TextConfig	1000163	已关闭法术特效	已關閉法術特效	Spell SFX disabled	呪文エフェクトを非表示にしました	Zaubereffekte deaktiviert		주문 효과가 표시되지 않습니다.
TextConfig	1000164	已关闭召唤物显示	已關閉召喚物顯示	Summon display disabled	召喚物を非表示にしました	Beschwörungseffekte deaktiviert		소환물을 표시하지 않습니다.
TextConfig	1000165	空格	空格	Space	スペースキー	Leertaste		스페이스
TextConfig	1000166	鼠标左键	滑鼠左鍵	Left mouse button	マウスの左ボタン	Linke Maustaste		마우스 왼쪽 버튼
TextConfig	1000167	鼠标右键	滑鼠右鍵	Right mouse button	マウスの右ボタン	Rechte Maustaste		마우스 오른쪽 버튼
TextConfig	1000168	主动技能	主動技能	Active skills	プロアクティブなスキル	Aktive Fähigkeiten		액티브 스킬
TextConfig	1000169	召唤物透明度调到最低可提升游戏性能	召喚物透明度調到最低可提升遊戲效能	Setting the transparency of summoning objects to the lowest level can improve game performance	召喚物の透明度を最小にするとゲーム性能が向上する	Das Setzen der Transparenz von Beschwörungsobjekten auf die unterste Ebene kann die Spielleistung verbessern		소환물의 투명도를 최소화하면 게임 성능이 향상됩니다.
TextConfig	1000201	继续	繼續	Continue	再開する	Fortsetzen		재개
TextConfig	1000202	返回主界面	返回主介面	Back to Main Menu	メイン画面に戻る	Zum Hauptmenü zurückkehren		메인 화면으로 돌아가기
TextConfig	1000203	退出游戏	退出遊戲	Exit Game	ゲームを終了する	Spiel beenden		게임 종료
TextConfig	1000204	返回营地	返回營地	Return to Camp	キャンプに戻る	Zum Lager zurückkehren		캠프로 돌아가기
TextConfig	1000205	确定返回主界面？	確定返回主介面？	Return to the main menu?	メイン画面に戻りますか？	Möchten Sie wirklich zum Hauptmenü zurückkehren?		메인 화면으로 돌아가시겠습니까?
TextConfig	1000206	确定退出游戏？	確定退出遊戲？	Are you sure you want to quit?	ゲームを終了しますか？	Möchten Sie das Spiel wirklich beenden?		게임을 종료하시겠습니까?
TextConfig	1000207	确定返回营地？	確定返回營地？	Are you sure you want to return to the camp?	キャンプに戻りますか？	Möchten Sie wirklich zum Lager zurückkehren?		캠프로 돌아가시겠습니까?
TextConfig	1000208	是	是	Yes	はい	Ja		네
TextConfig	1000209	否	否	No	いいえ	Nein		아니오
TextConfig	1000210	确定返回营地？你将<color=#FF0000>失去此轮冒险进度</color>。	確定返回營地？你將<color=#FF0000>失去此輪冒險進度</color>。	Return to the camp? You'll <color=#FF0000>lose progress in this adventure</color>.	キャンプに戻りますか？<color=#FF0000>今回の冒険はセーブされません</color>。	Möchten Sie wirklich zum Lager zurückkehren? Sie werden <color=#FF0000>den Fortschritt dieses Abenteuers verlieren</color>		캠프로 돌아가시겠습니까? <color=#FF0000>이번 모험은 저장되지 않습니다</color>.
TextConfig	1000211	确定返回主界面？<color=#00FF00>此轮冒险进度将被保留</color>，下次游戏可以继续当前进度。	確定返回主介面？<color=#00FF00>此輪冒險進度將被保留</color>，下次遊戲可以繼續目前進度。	Return to the main menu? <color=#00FF00>Your progress in this adventure will be saved</color> for next time.	メイン画面に戻りますか？<color=#00FF00>今回の冒険はセーブされ</color>、次回また続きから冒険を再開できます。	Möchten Sie zum Hauptmenü zurückkehren? <color=#00FF00>Der Fortschritt dieses Abenteuers wird gespeichert</color> und kann beim nächsten Spiel fortgesetzt werden		메인 화면으로 돌아가시겠습니까?<color=#00FF00>이번 모험은 저장됩니다</color>
TextConfig	1000221	系统	系統	System	システム	System		시스템
TextConfig	1000222	手册	手冊	Manual	マニュアル	Handbuch		설명서
TextConfig	1000223	成就	成就	Achievements	実績	Erfolge		업적
TextConfig	1000224	角色	角色	Character	キャラクター	Charakter		캐릭터
TextConfig	1000234	关闭系统光标，可使用虚拟光标调节大小，但带点难以察觉的延迟	關閉系統光標，可使用虛擬光標調節大小，但帶點難以察覺的延遲	Disable the system cursor and utilize the virtual cursor to adjust its size, though there may be a slight imperceptible delay.	システム カーソルの代わりにサイズ変更可能な仮想カーソルを使用する	Systemcursor deaktivieren, virtuellen Cursor zur Größenanpassung verwenden, jedoch mit leicht spürbarer Verzögerung		시스템 커서 대신 크기 조정 가능한 가상 커서를 사용합니다. 미세한 지연이 있을 수 있습니다.
TextConfig	1000235	有助于在战斗中找到光标	有助於在戰鬥中找到光標	Assists in locating the cursor during combat.	戦闘中にカーソルを見つけるのに役立ちます	Hilft, den Cursor während des Kampfes zu finden		전투 중 커서를 찾는 데 도움이 됩니다
TextConfig	1000236	虚拟光标大小	虛擬光標大小	Virtual Cursor Size	仮想カーソルサイズ	Größe des virtuellen Cursors		가상 커서 크기
TextConfig	1000237	系统光标	系統光標	System Cursor	システムカーソル	Systemcursor		시스템 커서
TextConfig	1000238	（长按）	（長按）	(Long Press)	（長押し）	(Lange drücken)		(길게 누름)
TextConfig	1000239	用时	用時	Time	プレイ時間	benötigte Zeit		플레이 시간
TextConfig	1000240	（长按	（長按	(Long Press	（長押し	(Lange drücken		(길게 누르기
TextConfig	1000241	（长按使用)	（長按使用）	(Long press to use)	（長押し使用）	(Lange Presse zu verwenden)		(길게 눌러서 사용)
TextConfig	1000301	背包		Inventory	バッグ	Inventar		가방
TextConfig	1000302	选择语言	選擇語言	Select Language	言語選択	Sprache auswählen		언어 선택
TextConfig	1000303	建议使用键鼠游玩	推薦使用滑鼠鍵盤遊玩	Keyboard and mouse recommended for optimal gameplay experience.	マウスとキーボードを使用することを推奨します	Verwendung von Tastatur und Maus empfohlen		마우스와 키보드로 플레이하는 것을 권장합니다.
TextConfig	1000304	当前关卡:	當前關卡：	Current Level:	現在のステージ：	Aktueller Abschnitt:		현재 단계:
TextConfig	1000401	小怪	小怪	Minions	小型モンスター	Kleinere Gegner		소형 몬스터
TextConfig	1000402	首领	首領	Bosses	ボス	Boss		보스
TextConfig	1000403	法术	法術	Spells	呪文	Zauber		주문
TextConfig	1000404	遗物	遺物	Relics	遺物	Relikte		유물
TextConfig	1000405	药水	藥水	Potions	薬	Zaubertrank		물약
TextConfig	1000406	诅咒	詛咒	Curses	呪い	Flüche	减益	저주
TextConfig	1000407	生命值	生命值	HP	HP	Lebenspunkte		생명력
TextConfig	1000408	出没于	出沒於	Lurking in	出現難易度	Auftreten in		출현 난이도
TextConfig	1000409	干掉次数	擊敗次數	Defeated	撃破回数	Anzahl der Tötungen		격파 횟수
TextConfig	1000410	获得次数	獲得次數	Obtained	獲得回数	Anzahl der Erhaltenen		획득 횟수
TextConfig	1000411	杀敌数量	殺敵數量	Kills	キル数	Anzahl der getöteten Feinde		처치 수
TextConfig	1000412	使用次数	使用次數	Used	使用回数	Anzahl der Verwendungen		사용 횟수
TextConfig	1000413	切换法术等级	切換法術等級	Switch Spell Level	呪文レベルの切り替え	Zauberstufe wechseln		주문 레벨 전환
TextConfig	1000414	法杖	法杖	Wand	杖	Zauberstab		지팡이
TextConfig	1000415	最高等级	最高等級	Max Level	最高レベル	Maximale Stufe		최고 등급
TextConfig	1000416	最大数量	最大數量	Maximum	最大数	Maximale Anzahl		최대 수
TextConfig	1000501	天赋	天賦	Talent	能力	Talente		능력
TextConfig	1000502	法杖栏位	法杖欄位	Wand Slots	杖スロット	Zauberstab-Platz		지팡이 슬롯
TextConfig	1000503	背包栏位	背包欄位	Inventory Slots	バッグスロット	Inventarplatz		가방 슬롯
TextConfig	1000504	初始金币	初始金幣	Initial Coin	初期コイン数	Anfangs-Goldmünzen		초기 금화
TextConfig	1000505	最大生命	最大生命值	Max HP	最大HP	Maximales Leben		최대 생명력
TextConfig	1000506	法术房	法術房	Spell Room	呪文の部屋	Zauberraum		주문 방
TextConfig	1000507	遗物房	遺物房	Relic Room	遺物の部屋	Reliktraum		유물 방
TextConfig	1000508	金币房	金幣房	Coin Room	コインの部屋	Raum für Goldmünzen		금화 방
TextConfig	1000509	生命房	生命房	HP Room	命の部屋	Lebensraum		생명 방
TextConfig	1000510	魔法上限	魔法值上限	Max MP	最大MP	Mana-Grenze		최대 마력
TextConfig	1000511	魔法恢复	魔法值恢復	MP Regen	MP回復	Mana-Regeneration		마력 회복
TextConfig	1000512	满级	滿級	Max	最大値	Maximale Stufe		최대값
TextConfig	1000513	稀有概率	稀有機率	Rare Probability	高レア魔法出現率	Seltenheitswahrscheinlichkeit		고급 마법 등장 확률
TextConfig	1000514	稀有概率	稀有機率	Rare Probability	高レア遺物出現率	Seltenheitswahrscheinlichkeit		고급 유물 등장 확률
TextConfig	1000515	金币产量	金幣產量	Coin Yield	コイン生成量	Goldmünze-Produktion(en)		금화 생성량
TextConfig	1000516	生命产量	生命值產量	HP Regen	最大HP上昇量	Lebensproduktion(en)		생명력 상승량
TextConfig	1000517	进门回血	進門回血	Healing Upon Entry	次のルームに入るとHPを回復	Heilung beim Betreten des Raums		다음 방에 들어갈 때 회복되는 생명력
TextConfig	1000518	上限	上限	Limit	上限	Obergrenze		상한
TextConfig	1000519	解锁更多天赋	解鎖更多天賦	Unlock more talents	能力解放	Mehr Talente freischalten		능력해방
TextConfig	1000601	您死了	您死了	You Died	You Died!	Sie sind gestorben	败北	당신은 죽었습니다
TextConfig	1000602	朕知道了	朕知道了	Got it	OK	Ich weiß Bescheid		알겠습니다
TextConfig	1000701	长按拖拽	長按拖拽	Long Press and Drag	長押しでドラッグ	Lange drücken und ziehen		길게 누른 채 드래그
TextConfig	1000702	单击丢弃	點選丟棄	Click to Drop	ワンクリックで破棄	Klicken, um zu werfen		버리려면 클릭하세요.
TextConfig	1000703	法杖魔力上限不足以施放任何法术组	法杖魔力上限不足以釋放任何法術組	Insufficient MP to cast any spell set.	杖の魔力の上限が足りず、どの呪文グループも発動できません	Die magische Kraft des Zauberstabes reicht nicht aus, um Zauber zu wirken		지팡이의 마력 상한이 부족해서, 어떤 주문도 발동할 수 없습니다
TextConfig	1000704	无法手持杖灵所在的法杖	無法手持杖靈所在的法杖	Unable to wield the wand containing the wand spirit.	杖霊のいる杖を手にすることはできない	Der Zauberstab mit dem Stabgeist kann nicht gehalten werden		지팡이 수호령이 있을 때는 직접 시전할 수 없습니다
TextConfig	1000705	法杖魔力上限不足以施放该法术组	法杖魔力上限不足以釋放該法術組	Insufficient MP to cast this spell set.	杖の魔力の上限が足りず、この呪文グループも発動できません	Die magische Kraft des Zauberstabes reicht nicht aus, um diesen Zauber zu wirken		지팡이의 마력 상한이 부족해서, 이 주문을 발동할 수 없습니다
TextConfig	1000706	右侧没有可施放的法术	右側沒有可施法法術	No spells on the right can be cast	次のスロットには詠唱できる呪文がありません	Keine Zauber auf der rechten Seite verfügbar		오른쪽에 시전할 수 있는 주문이 없습니다
TextConfig	1000707	左侧没有可施放法术	左側沒有可施法法術	No spells on the left can be cast	前のスロットには詠唱できる呪文がありません	Keine Zauber auf der linken Seite verfügbar		왼쪽에 시전할 수 있는 주문이 없습니다
TextConfig	1000708	右侧没有可被拟态的法术	右側沒有可被擬態的法術	No spells on the right can be morphed.	右には模倣できる呪文はありません	Keine Zauber auf der rechten Seite zum Kopieren verfügbar		오른쪽에 모방할 수 있는 주문이 없습니다
TextConfig	1000709	没有足够空间进行拟态	沒有足夠空間進行擬態	Not enough space to morph.	擬態するためのスペースが足りない	Nicht genügend Platz zum Kopieren		모방하기 위한 공간이 부족합니다
TextConfig	1000801	选择1个奖励魔杖	選擇1個獎勵魔杖	Choose 1 Wand	報酬の杖を1つ選択してください	Wählen Sie einen Belohnungsstab aus		보상으로 지팡이를 선택하세요
TextConfig	1000802	选择2个奖励法术	選擇2個獎勵法術	Choose 2 Spells	報酬の呪文を2つ選択してください	Wählen Sie zwei Belohnungszauber aus		보상으로 주문 두개를 선택하세요
TextConfig	1000803	选择1个奖励遗物	選擇1個獎勵遺物	Choose 1 Relic	報酬の遺物を1つ選択してください	Wählen Sie ein Belohnungsrelikt aus		보상으로 유물을 선택하세요
TextConfig	1000804	重随	重隨	Reroll	再ランダム	Neu auswählen		재굴림
TextConfig	1000901	合成	合成	Craft	合成する	Kombinieren		합성
TextConfig	1000902	需要3个相同法术	需要3個相同法術	Requires 3 identical spells.	同じ呪文が3つ必要	Drei gleiche Zauber benötigt		동일한 주문 3개가 필요합니다
TextConfig	1000903	等级已满	等級已滿	Max level reached	レベルが最大になっています	Maximale Stufe erreicht		최대 등급 도달
TextConfig	1000904	重铸	重鑄	Reforge	再鋳造する	Neu schmieden		재련
TextConfig	1000905	放入	放入	Add	入れる	Einfügen		추가
TextConfig	1000906	融合	融合	Fuse	融合する	Verschmelzen		융합
TextConfig	1000907	法术已满级	法術已滿級	Spell already max level	この呪文はすでに最大レベルです	Zauber ist auf maximaler Stufe		주문이 이미 최대 등급입니다
TextConfig	1000908	需要相同等级和稀有度	需要相同等級和稀有度	Requires same level and rarity	同じレベルとレア度が必要です	Gleiche Stufe und Seltenheit erforderlich		동일한 등급과 희귀도가 필요합니다
TextConfig	1000909	独特法术无法重铸	獨特法術無法重鑄	Unique spells cannot be reforged	ユニークな呪文は再鋳造できません	Einzigartige Zauber können nicht neu geschmiedet werden		고유 주문은 재련할 수 없습니다
TextConfig	1001001	后置槽：此法杖每击杀1个敌人充能PostSlotTriggerChargeRatio点	後置槽：此法杖每擊殺1個敵人充能PostSlotTriggerChargeRatio點	Post Slot: The wand charge PostSlotTriggerChargeRatio energy for every enemy killed.	後続スロット：この杖を使用する場合、敵を1体戦闘不能にするたびに、魔力をPostSlotTriggerChargeRatioチャージする	Hinterer Slot: Dieser Zauberstab lädt bei jedem getöteten Gegner PostSlotTriggerChargeRatio Punkte auf	后置槽：此法杖每击败1个敌人充能PostSlotTriggerChargeRatio点	후속 슬롯: 이 지팡이를 사용할 경우, 적을 하나 죽일 때마다, PostSlotTriggerChargeRatio 점 충전
TextConfig	1001002	后置槽：每移动1米充能PostSlotTriggerChargeRatio点	後置槽：每移動1米充能PostSlotTriggerChargeRatio點	Post Slot: charge PostSlotTriggerChargeRatio energy for every meter moved.	後続スロット：1メートル移動するたびに、魔力をPostSlotTriggerChargeRatioチャージする	Hinterer Slot: Lädt sich bei jeder Bewegung von einem Meter um PostSlotTriggerChargeRatio Punkte auf		후속 슬롯: 1m 이동할 때마다 PostSlotTriggerChargeRatio 점 충전
TextConfig	1001003	后置槽：此法杖每次命中敌人充能PostSlotTriggerChargeRatio点	後置槽：此法杖每次命中敵人充能PostSlotTriggerChargeRatio點	Post Slot: The wand charge PostSlotTriggerChargeRatio energy for every enemy hit.	後続スロット：この杖を使用する場合、敵に命中するたびに、魔力をPostSlotTriggerChargeRatioチャージする	Hinterer Slot: Dieser Zauberstab lädt bei jedem Treffer auf einen Gegner um PostSlotTriggerChargeRatio Punkte auf		후속 슬롯: 이 지팡이를 사용하여 적에게 명중할 때마다 PostSlotTriggerChargeRatio 점 충전
TextConfig	1001004	后置槽：每站立1秒充能PostSlotTriggerChargeRatio点	後置槽：每站立1秒充能PostSlotTriggerChargeRatio點	Post Slot: Charge PostSlotTriggerChargeRatio energy for every second stood still.	後続スロット：立ち止まると、1秒につき、魔力をPostSlotTriggerChargeRatioチャージする	Hinterer Slot: Lädt sich bei jedem Stehen für eine Sekunde um PostSlotTriggerChargeRatio Punkte auf		후속 슬롯: 서 있으면 초당 PostSlotTriggerChargeRatio 점 충전
